,Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
4508,Maldives,exact,A,3.2,73.0,16.0,64.75572389913336
4509,Nicobar Island,exact,A,7.03002,93.79028,16.0,61.2880448320973
4510,Western Europe,exact,L,50.21909,7.42676,3.0,31.664911974891112
4511,Fujian,exact,A,26.25,118.0,9.0,57.04212427515833
4512,Tuleny I.,Tuleng,P,24.40583,121.36306,9.0,17.371793866604218
4513,Lake Bolsena,exact,H,42.6,11.93333,22.0,37.19743830444263
4514,Ebro River Delta,Ebro,P,47.49551,-95.52946,3.0,2.2688095305235185
4515,Posyet Bay,Pos'yet,P,42.653,130.80343,9.0,30.111753012356562
4516,Jazan,exact,P,16.88917,42.55111,26.0,43.61477481011922
4517,Lamu,exact,A,-2.28,40.9,17.0,50.727506040996715
4518,Madagascar,exact,T,-20.03085,45.695,19.0,55.992417370462576
4519,Tyrrhenian Seas,exact,H,40.0,12.0,10.0,42.59007199250243
4520,Fuerteventura,exact,T,28.38113,-14.03074,2.0,47.74780204384607
4521,S. horneri,Shrirangapatna,S,12.4247,76.67803,15.0,21.065139122066817
4522,Kallar Kahar,exact,P,32.77998,72.69793,15.0,36.231168504238205
4523,Tampico,exact,P,22.28519,-97.87777,3.0,45.59569879593027
4524,San Cristóbal,exact,P,7.76694,-72.225,11.0,42.42161474128953
4525,Tone-unga River,Tone Unga,H,35.93209,139.95594,22.0,48.210595774692585
4526,Hudson River's,exact,H,34.239,-83.17293,3.0,41.75417058253093
4527,Khlong Dan,exact,H,13.09385,102.59621,9.0,46.34634589917262
4528,SW Atlantic,Sū,P,35.1576,46.9093,15.0,53.181345764341096
4529,Red River,exact,P,44.82498,-88.70455,3.0,39.592043345930215
4530,Rhone River,exact,H,38.86484,-76.51468,3.0,40.588363719776346
4531,Tebrau,exact,P,1.64829,109.60978,11.0,20.513119760434144
4532,Bohai Bay,exact,H,-7.55461,158.43782,10.0,9.157396781813306
4533,Kermadec,exact,P,48.56707,-3.24315,3.0,20.329523361986485
4534,Wandoor,exact,P,11.19579,76.23632,15.0,44.391546469477326
4535,Ghana,exact,A,8.1,-1.2,5.0,55.3884834359264
4536,HI,exact,P,-8.66,125.43361,11.0,19.230462650482824
4537,Turku,exact,P,60.45148,22.26869,24.0,13.775328551109016
4538,Southern Hemisphere,Southern,A,22.24112,114.20769,9.0,41.61822993028382
4539,Pays de la Loire,exact,L,47.5,-1.0,3.0,37.561037002249044
4540,Mayo Bay,exact,H,18.29471,94.37509,15.0,26.358676530283287
4541,Red sea,exact,A,19.96667,35.66667,26.0,54.74503731767143
4542,SAO,exact,L,15.3,107.21667,9.0,37.64481625564397
4543,Esmeraldas Province,Esmeraldas,P,0.9592,-79.65397,11.0,62.52283263189808
4544,Pengudang,exact,P,1.1667,104.50238,11.0,37.06221339762472
4545,Bega,exact,P,-36.67392,149.84178,19.0,36.12750116430412
4546,Alpha,exact,L,50.30014,-86.64996,3.0,24.634388354328784
4547,Koh Samui,exact,T,9.50376,99.99357,17.0,54.13111256251874
4548,NCR,exact,L,28.66047,77.07733,15.0,44.96389697755242
4549,Western Garbage Patch,Western,A,19.30833,-81.375,2.0,25.02200550299133
4550,Vadodara,exact,P,22.29941,73.20812,15.0,37.388465381390255
4551,LIgurian Sea,exact,H,43.5,9.0,22.0,40.3289143518225
4552,Tanjung Bayang,exact,P,-3.31332,104.69883,11.0,30.297947230400936
4553,NIO,exact,P,43.35132,-7.11026,3.0,35.55208185084838
4554,Sea Japan,Cea,P,42.46278,-5.01152,3.0,40.271411284552556
4555,Montreux,exact,P,46.43301,6.91143,22.0,32.37930803252004
4556,Várzea Grande,exact,P,-15.64667,-56.1325,7.0,42.608668191087055
4557,Rawa Urip,exact,P,-6.7942,108.6633,11.0,37.35606130059013
4558,Barents Seas,exact,H,74.0,36.0,21.0,57.608775352547795
4559,Paraíba State,Paraíba,A,-7.25,-36.5,5.0,27.798731661139545
4560,Yamaguchi Prefecture,exact,A,34.2,131.56667,9.0,33.915315452003945
4561,Shearwater,exact,P,-41.15673,146.53178,19.0,38.262013543091314
4562,Madeira Island,exact,T,32.65871,-16.92183,2.0,43.28550905231967
